occurrenceID	institutionCode	year	month	day	eventID	time_start_utc	time_start_utc_text	time_stop_utc	time_stop_utc_text	Sea State (BF)	Cloud cover (%)	Vessel speed (nm)	latitude_start_degree	latitude_start_decimal_minute	longitude_start_degree	longitude_start_decimal_minute	latitude_stop_degree	latitude_stop_decimal_minute	longitude_stop_degree	longitude_stop_decimal_minute	geodeticDatum	vernacularName	individualCount	verbatimIdentification	verbatimScientificName	identificationQualifier	scientificNameID	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	waterBody	higherGeographyID	basisOfRecord	recordedBy	recordedByID	eventRemarks	locality	verbatimLocality	remark	reportedWeather	identificationRemarks	occurrenceStatus	samplingProtocol	time_start	time_stop	eventTime	eventDate	decimalLatitude_start	decimalLongitude_start	decimalLatitude_end	decimalLongitude_end	footprintWKT	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	georeferenceRemarks
437	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	Magellanic Penguin	1	Spheniscus magellanicus	Spheniscus magellanicus		urn:lsid:marinespecies.org:taxname:225782	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	magellanicus	(Forster, 1781)	Spheniscus magellanicus (Forster, 1781)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
438	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	Black-browed Albatross	1500	Thalassarche melanophris	Thalassarche melanophris		urn:lsid:marinespecies.org:taxname:343995	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	melanophris	(Temminck, 1828)	Thalassarche melanophris (Temminck, 1828)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
439	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	Southern Giant-petrel	50	Macronectes giganteus	Macronectes giganteus		urn:lsid:marinespecies.org:taxname:212636	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Macronectes	giganteus	(Gmelin, 1789)	Macronectes giganteus (Gmelin, 1789)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
440	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	Sooty Shearwater	2	Ardenna grisea	Ardenna grisea		urn:lsid:marinespecies.org:taxname:707542	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	grisea	(Gmelin, 1789)	Ardenna grisea (Gmelin, 1789)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
441	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	South American Tern	40	Sterna hirundinacea	Sterna hirundinacea		urn:lsid:marinespecies.org:taxname:225979	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	hirundinacea	Lesson, 1831	Sterna hirundinacea Lesson, 1831	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
442	ULB - EMC2	2024	2	7	T2 TOPP_01	19:30	19:30:00	20:00	20:00:00		60	9	54	55	67	25.2	54	54.8	67	18.2	EPSG:4326	Imperial Cormoran	2215	Leucocarbo atriceps	Leucocarbo atriceps		urn:lsid:marinespecies.org:taxname:1603882	Animalia	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Leucocarbo	atriceps	(King, 1828)	Leucocarbo atriceps (King, 1828)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	19:30	20:00	19:30Z/20:00Z	2024-02-07	-53.0833	-66.58	-53.0867	-66.6967	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)	-66.6384	-53.0850	5906	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
463	ULB - EMC2	2024	2	7	T2 TOPP_05	21:30	21:30:00	22:00	22:00:00		20	9	54	57.4	66	59.1	54	59.8	66	52.3	EPSG:4326	Black-browed Albatross	24	Thalassarche melanophris	Thalassarche melanophris		urn:lsid:marinespecies.org:taxname:343995	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	melanophris	(Temminck, 1828)	Thalassarche melanophris (Temminck, 1828)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	21:30	22:00	21:30Z/22:00Z	2024-02-07	-53.0433	-65.015	-53.0033	-65.1283	LINESTRING (-65.0150 -53.0433, -65.1283 -53.0033)	-65.0717	-53.0233	6399	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
464	ULB - EMC2	2024	2	7	T2 TOPP_05	21:30	21:30:00	22:00	22:00:00		20	9	54	57.4	66	59.1	54	59.8	66	52.3	EPSG:4326	Sooty Shearwater	1	Ardenna grisea	Ardenna grisea		urn:lsid:marinespecies.org:taxname:707542	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Ardenna	grisea	(Gmelin, 1789)	Ardenna grisea (Gmelin, 1789)	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	21:30	22:00	21:30Z/22:00Z	2024-02-07	-53.0433	-65.015	-53.0033	-65.1283	LINESTRING (-65.0150 -53.0433, -65.1283 -53.0033)	-65.0717	-53.0233	6399	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
465	ULB - EMC2	2024	2	7	T2 TOPP_05	21:30	21:30:00	22:00	22:00:00		20	9	54	57.4	66	59.1	54	59.8	66	52.3	EPSG:4326	Chilean Skua	1	Stercorarius chilensis	Stercorarius chilensis		urn:lsid:marinespecies.org:taxname:567472	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	chilensis	Bonaparte, 1857	Stercorarius chilensis Bonaparte, 1857	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	21:30	22:00	21:30Z/22:00Z	2024-02-07	-53.0433	-65.015	-53.0033	-65.1283	LINESTRING (-65.0150 -53.0433, -65.1283 -53.0033)	-65.0717	-53.0233	6399	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
466	ULB - EMC2	2024	2	7	T2 TOPP_05	21:30	21:30:00	22:00	22:00:00		20	9	54	57.4	66	59.1	54	59.8	66	52.3	EPSG:4326	South American Tern	7	Sterna hirundinacea	Sterna hirundinacea		urn:lsid:marinespecies.org:taxname:225979	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	hirundinacea	Lesson, 1831	Sterna hirundinacea Lesson, 1831	species	Henri Robert	Magellanic Area		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	21:30	22:00	21:30Z/22:00Z	2024-02-07	-53.0433	-65.015	-53.0033	-65.1283	LINESTRING (-65.0150 -53.0433, -65.1283 -53.0033)	-65.0717	-53.0233	6399	coordinateUncertaintyInMeters includes uncertainty estimated based on the specifications of binoculars.
